🚀 Starting Pi Monitor...
✅ Data pushed: {'timestamp': 1771356490437, 'cpu_temp': 42.5, 'cpu_usage': 6.0, 'memory_usage': 67.2, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356496769, 'cpu_temp': 40.8, 'cpu_usage': 4.8, 'memory_usage': 67.2, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356503072, 'cpu_temp': 41.4, 'cpu_usage': 5.8, 'memory_usage': 67.1, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356509382, 'cpu_temp': 41.4, 'cpu_usage': 11.7, 'memory_usage': 68.8, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356515732, 'cpu_temp': 41.9, 'cpu_usage': 6.8, 'memory_usage': 69.9, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356522056, 'cpu_temp': 43.5, 'cpu_usage': 12.6, 'memory_usage': 71.0, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356528364, 'cpu_temp': 41.9, 'cpu_usage': 5.8, 'memory_usage': 70.8, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356534793, 'cpu_temp': 42.5, 'cpu_usage': 26.8, 'memory_usage': 72.2, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356541130, 'cpu_temp': 43.5, 'cpu_usage': 8.4, 'memory_usage': 71.9, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356547446, 'cpu_temp': 48.0, 'cpu_usage': 74.3, 'memory_usage': 72.3, 'disk_usage': 21.4}
✅ Data pushed: {'timestamp': 1771356553864, 'cpu_temp': 44.1, 'cpu_usage': 18.9, 'memory_usage': 67.4, 'disk_usage': 21.4}
✅ Data pushed: {'timestamp': 1771356560208, 'cpu_temp': 44.6, 'cpu_usage': 16.9, 'memory_usage': 67.3, 'disk_usage': 21.4}
✅ Data pushed: {'timestamp': 1771356566525, 'cpu_temp': 44.6, 'cpu_usage': 4.5, 'memory_usage': 62.7, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356572852, 'cpu_temp': 43.5, 'cpu_usage': 4.5, 'memory_usage': 61.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356579194, 'cpu_temp': 43.0, 'cpu_usage': 6.0, 'memory_usage': 65.5, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356585506, 'cpu_temp': 43.5, 'cpu_usage': 8.2, 'memory_usage': 64.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356591812, 'cpu_temp': 42.5, 'cpu_usage': 5.7, 'memory_usage': 64.1, 'disk_usage': 21.5}
